,Nombre del programa o astrónomo(s),Periodo,Cantidad
1,"Linear, Lincoln Near-Earth Asteroid Research",Entre 1997 y 2015,146 636
2,Spacewatch,Entre 1985 y 2016,121 706
3,Mount Lemmon Survey,Entre 2004 y 2016,45 290
4,"NEAT, Near Earth Asteroid Tracking",Entre 1995 y 2007,40 607
5,"CSS, Catalina Sky Survey",Entre 1998 y 2014,24 274
6,"Loneos, Lowell Observatory Near-Earth-Object Search",Entre 1998 y 2008,21 638
7,C. J. van Houten; I. van Houten-Groeneveld; T. Gehrels,Entre 1960 y 1977,4619
8,Eric Walter Elst,Entre 1986 y 2002,3757
9,"SSS, Siding Spring Survey",Entre 2004 y 2013,2609
10,Takao Kobayashi,Entre 1991 y 2002,2477
